id,EAP,HPL,MWS
id02310,0.056,0.011,0.933
id24541,0.942,0.043,0.015
id00134,0.500,0.421,0.079
id27757,0.853,0.136,0.011
id04081,0.815,0.100,0.086
id27337,0.899,0.082,0.019
id24265,0.858,0.123,0.019
id25917,0.073,0.180,0.748
id04951,0.997,0.002,0.001
id14549,0.906,0.054,0.040
id22505,0.168,0.301,0.531
id24002,0.004,0.991,0.006
id18982,0.162,0.712,0.126
id15181,0.080,0.853,0.066
id21888,0.619,0.005,0.375
id12035,0.049,0.045,0.906
id17991,0.147,0.026,0.826
id10707,0.980,0.006,0.014
id07101,0.151,0.238,0.611
id00345,0.424,0.529,0.047
id05912,0.928,0.023,0.049
id13443,0.958,0.029,0.013
id09248,0.461,0.100,0.438
id17542,0.015,0.971,0.015
id06995,0.279,0.077,0.644
id25159,0.713,0.012,0.275
id25729,0.600,0.377,0.023
id26949,0.826,0.061,0.113
id27191,0.392,0.003,0.605
id07668,0.523,0.006,0.471
id02230,0.197,0.216,0.587
id15553,0.992,0.002,0.006
id25688,0.003,0.995,0.002
id17545,0.989,0.008,0.003
id13929,0.477,0.126,0.397
id12880,0.229,0.529,0.241
id19282,0.550,0.100,0.350
id14690,0.002,0.006,0.992
id17975,0.061,0.838,0.102
id08037,0.697,0.008,0.295
id15412,0.115,0.033,0.852
id25032,0.505,0.044,0.452
id27165,1.000,0.000,0.000
id03327,0.513,0.163,0.323
id18515,0.853,0.002,0.145
id21003,0.151,0.052,0.797
id23855,0.003,0.688,0.309
id20724,0.890,0.052,0.058
id13303,0.215,0.066,0.719
id16521,0.077,0.290,0.633
id20775,0.997,0.002,0.001
id13029,0.992,0.003,0.005
id14660,0.701,0.268,0.030
id11028,0.012,0.010,0.979
id14180,0.991,0.004,0.005
id25860,0.962,0.001,0.036
id11910,0.316,0.017,0.667
id08065,0.143,0.040,0.817
id22674,0.171,0.010,0.819
id25018,0.305,0.025,0.671
id10892,0.044,0.922,0.035
id10217,0.377,0.618,0.004
id12996,0.369,0.036,0.594
id18262,0.323,0.162,0.515
id08606,0.013,0.977,0.010
id17233,0.905,0.067,0.028
id00101,0.534,0.321,0.144
id12225,0.942,0.030,0.028
id01364,0.103,0.869,0.028
id24973,0.815,0.007,0.178
id25363,0.707,0.125,0.168
id10061,0.259,0.406,0.334
id17673,0.026,0.960,0.014
id13249,0.385,0.051,0.565
id10107,0.021,0.018,0.961
id04403,0.800,0.026,0.174
id25728,0.841,0.108,0.051
id16184,0.273,0.044,0.683
id03438,0.080,0.022,0.898
id22923,0.007,0.991,0.001
id08610,0.955,0.014,0.031
id25355,0.078,0.036,0.886
id16916,0.540,0.363,0.097
id12793,0.079,0.911,0.010
id11859,0.704,0.102,0.194
id02434,0.993,0.002,0.005
id27703,0.018,0.006,0.976
id25212,0.393,0.540,0.068
id11308,0.210,0.187,0.604
id26094,0.967,0.014,0.019
id22080,0.957,0.032,0.012
id03545,0.996,0.003,0.001
id23725,0.006,0.009,0.985
id12009,0.827,0.104,0.069
id24241,0.378,0.433,0.189
id03596,0.006,0.976,0.018
id10749,0.104,0.802,0.094
id22794,0.074,0.028,0.898
id15482,0.473,0.177,0.350
id04833,0.749,0.187,0.064
id00397,0.111,0.004,0.886
id14691,0.014,0.113,0.873
id05193,0.145,0.040,0.815
id19541,0.783,0.010,0.207
id22166,0.064,0.199,0.737
id20744,0.000,0.000,1.000
id10392,0.013,0.128,0.859
id00770,0.943,0.035,0.021
id06018,0.437,0.510,0.053
id15678,0.794,0.004,0.201
id08305,0.764,0.215,0.021
id08903,0.118,0.115,0.766
id14752,0.506,0.381,0.113
id12468,0.261,0.738,0.001
id05085,0.550,0.423,0.027
id21993,0.117,0.005,0.878
id15503,0.977,0.011,0.012
id03021,0.057,0.892,0.051
id16123,0.917,0.062,0.022
id19383,0.760,0.017,0.222
id04186,0.945,0.001,0.054
id17954,0.014,0.078,0.908
id12030,0.103,0.003,0.894
id13020,0.896,0.086,0.019
id25327,0.043,0.572,0.385
id16344,0.210,0.398,0.392
id12303,0.179,0.790,0.031
id15017,0.975,0.022,0.003
id22308,0.321,0.045,0.635
id06536,0.005,0.012,0.982
id19797,0.119,0.705,0.176
id06332,0.707,0.188,0.105
id22941,0.345,0.129,0.526
id13547,0.025,0.027,0.948
id06928,0.015,0.024,0.961
id12521,0.374,0.579,0.047
id25716,0.905,0.005,0.090
id27116,0.156,0.000,0.844
id19941,0.029,0.855,0.116
id05711,0.000,0.000,1.000
id02097,0.009,0.015,0.975
id03563,0.055,0.807,0.138
id02295,0.019,0.965,0.015
id08179,0.991,0.002,0.007
id05332,0.239,0.687,0.074
id15697,0.842,0.033,0.125
id17026,0.086,0.015,0.899
id04243,0.503,0.446,0.051
id13175,0.998,0.002,0.001
id05387,0.914,0.070,0.016
id19989,0.901,0.078,0.020
id25173,0.178,0.060,0.762
id08925,0.001,0.999,0.001
id03034,0.022,0.887,0.092
id13272,0.016,0.955,0.029
id07956,0.545,0.011,0.444
id02648,0.000,0.000,1.000
id01778,0.226,0.141,0.633
id12846,0.007,0.001,0.991
id19001,0.462,0.125,0.413
id05763,0.712,0.097,0.191
id15590,0.000,0.000,1.000
id04912,0.727,0.032,0.241
id21201,0.962,0.015,0.023
id13215,0.978,0.000,0.022
id15612,0.381,0.582,0.038
id18501,0.087,0.008,0.905
id07223,0.648,0.268,0.084
id06707,0.533,0.134,0.332
id05238,0.002,0.998,0.001
id00935,0.063,0.258,0.679
id00110,0.870,0.017,0.113
id17476,0.813,0.144,0.043
id15170,0.998,0.001,0.001
id13397,0.117,0.164,0.719
id24283,0.436,0.023,0.540
id15234,0.996,0.004,0.000
id16884,0.645,0.207,0.149
id07831,0.556,0.303,0.141
id16038,0.917,0.040,0.043
id03629,0.884,0.066,0.050
id21019,0.833,0.090,0.077
id21835,0.348,0.117,0.535
id04480,0.102,0.898,0.000
id20838,0.367,0.448,0.186
id24195,0.738,0.034,0.228
id05448,0.549,0.262,0.189
id15957,0.079,0.900,0.021
id19956,0.005,0.000,0.995
id15104,0.040,0.093,0.867
id17559,0.674,0.085,0.240
id16839,0.360,0.054,0.586
id14493,0.704,0.049,0.247
id08833,0.659,0.066,0.275
id15723,0.062,0.001,0.937
id02716,0.968,0.015,0.016
id06689,0.131,0.804,0.064
id18837,0.356,0.097,0.547
id04466,0.814,0.175,0.011
id00686,0.501,0.033,0.466
id09010,0.178,0.806,0.017
id23353,0.943,0.004,0.052
id00066,0.561,0.332,0.107
id15724,0.060,0.868,0.072
id23486,0.309,0.035,0.657
id22258,0.130,0.064,0.806
id02292,0.823,0.138,0.040
id16356,0.547,0.007,0.446
